    YY |    DDD |  Pos-R [mm] |  SVN |  Pos-A [mm] |  SVN |  Pos-C [mm] |  SVN |  Vel-R [mm/s] |  SVN |  Vel-A [mm/s] |  SVN |  Vel-C [mm/s] |  SVN |  North [mm] |  Station |  East [mm] |  Station |  Up [mm] |  Station |  ERP-X [μas] |  ERP-Y [μas] |  ERP-LOD [μs]
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    26 |     42 |        0.00 |    1 |        0.20 |    1 |        0.20 |  107 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.07 |     CHAN |      -0.09 |     ARUC |    -0.14 |     POLV |     8.90e-01 |     1.23e+00 |     -5.00e-03
    26 |     43 |        0.00 |    1 |        0.20 |   28 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.06 |     BADG |       0.07 |     HNLC |     0.09 |     THTI |     6.80e-01 |     9.30e-01 |     -1.00e-02
    26 |     44 |        0.00 |    1 |        0.20 |    5 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.07 |     URUM |       0.07 |     AC24 |     0.05 |     ABMF |     1.10e-01 |     1.46e+00 |     -7.00e-03
    26 |     45 |        0.00 |    1 |        0.20 |    1 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.06 |     ALRT |       0.06 |     AC24 |     0.04 |     ABMF |     5.40e-01 |     5.50e-01 |     -5.00e-03
    26 |     46 |        0.00 |    1 |        0.20 |    1 |        0.20 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.07 |     ALRT |      -0.10 |     ARUA |     0.07 |     ABMF |    -7.90e-01 |     7.80e-01 |     -1.40e-02
    26 |     47 |        0.00 |    1 |        0.20 |    9 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.07 |     AMU2 |      -0.09 |     RBAY |     0.06 |     ABMF |    -8.20e-01 |     7.00e-02 |     -9.00e-03
    26 |     48 |        0.00 |    1 |        0.30 |   10 |        0.30 |  102 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.08 |     AMU2 |       0.13 |     FAA1 |     0.06 |     ABMF |    -1.17e+00 |    -3.20e-01 |     -6.00e-03
    26 |     49 |        0.00 |    1 |        0.10 |    1 |        0.10 |  102 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.06 |     AMU2 |       0.06 |     ASPA |     0.05 |     WUHN |    -6.60e-01 |    -8.30e-01 |     -3.00e-03
    26 |     50 |        0.00 |    1 |        0.20 |    4 |        0.20 |  102 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.04 |     AMU2 |       0.07 |     FAA1 |     0.15 |     WUHN |    -1.04e+00 |     1.70e-01 |     -6.00e-03
    26 |     51 |        0.00 |    1 |        0.20 |  120 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.07 |     AMU2 |      -0.08 |     CZTG |     0.05 |     ABMF |    -1.39e+00 |    -2.90e-01 |     -8.00e-03
    26 |     52 |        0.00 |    1 |        0.10 |    1 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.02 |     BBYS |      -0.02 |     AIRA |    -0.03 |     FAIR |     2.90e-01 |     4.20e-01 |      0.00e+00
    26 |     53 |        0.10 |  212 |        0.30 |  210 |        0.20 |  103 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.07 |     DUMG |      -0.10 |     REUN |    -0.16 |     WUHN |    -1.10e-01 |    -8.50e-01 |     -1.10e-02
    26 |     54 |        0.00 |    1 |        0.20 |    2 |        0.10 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |       -0.05 |     ROTH |       0.05 |     ASCG |     0.12 |     CZTG |     1.31e+00 |     1.14e+00 |     -1.00e-03
    26 |     55 |        0.10 |  215 |        0.10 |    3 |        0.00 |    1 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.06 |     AMU2 |       0.06 |     GAMB |    -0.13 |     WUHN |    -5.30e-01 |    -5.60e-01 |     -1.10e-02
    26 |     56 |        0.00 |    1 |        0.20 |    5 |        0.20 |  205 |          0.00 |    1 |          0.00 |    1 |          0.00 |    1 |        0.05 |     AMU2 |       0.07 |     ASPA |    -0.06 |     WUHN |    -9.00e-02 |    -3.10e-01 |      0.00e+00
