# date	gpsxtr_par
26/043	141010
26/044	140310
26/045	141901
26/046	144077
26/047	142398
26/048	142896
26/049	142234
26/050	138963
26/051	141885
26/052	141873
26/053	142209
26/054	142253
26/055	141643
26/056	140524
26/057	142428
26/058	142014
26/059	142432
26/060	142665
26/061	142166
26/062	142776
26/063	141763
26/064	141911
26/065	141525
26/066	143348
26/067	145193
26/068	142912
26/069	142865
26/070	142188
26/071	141904
26/072	142208
26/073	142759
26/074	143727
26/075	143793
26/076	143255
26/077	142634
26/078	142020
26/079	143782
26/080	143902
26/081	143702
26/082	143282
26/083	143038
26/084	144563
26/085	141871
26/086	142162
26/087	144702
26/088	142548
26/089	140901
26/090	141893
26/091	143468
26/092	143874
26/093	144666
26/094	143864
26/095	142929
26/096	141508
26/097	142714
26/098	143395
26/099	141310
26/100	141590
26/101	143889
26/102	142751
26/103	143886
26/104	141900
26/105	141135
26/106	142726
26/107	140669
26/108	143010
26/109	143544
26/110	140701
26/111	140461
26/112	139675
26/113	139372
26/114	140678
26/115	140912
26/116	142199
26/117	140605
26/118	139692
26/119	138033
26/120	138214
26/121	140009
26/122	140151
26/123	141097
26/124	139003
26/125	137104
26/126	137937
26/127	139550
26/128	138672
26/129	141519
26/130	141144
26/131	135461
26/132	134799
26/133	135845
26/134	136776
26/135	135860
26/136	136440
26/137	142321
26/138	141920
26/139	140971
26/140	138821
26/141	139581
26/142	139146
26/143	140582
26/144	143287
26/145	142011
26/146	142862
26/147	145058
26/148	143792
26/149	142550
26/150	141255
26/151	140973
26/152	142588
26/153	139660
26/154	138498
26/155	137847
26/156	140020
26/157	139940
26/158	139231
26/159	142110
26/160	141395
26/161	140762
26/162	91748
26/163	84646
26/164	140056
26/165	141972
26/166	140594
26/167	142578
26/168	141005
26/169	141519
26/170	140580
26/171	143391
26/172	NaN
